"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",117.9276,-20.82909,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",10,9,2014,"NatureMap","Mallina Station","DPaW - NQP","Remote camera",NA,NA,NA,"certain","Record_2412"
"Dasyurus hallucatus",117.95519,-21.18137,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",19,10,2012,"NatureMap","Mallina Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2414"
"Dasyurus hallucatus",117.2393,-21.33211,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",9,12,2011,"NatureMap","Millstream - Python Pool","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2415"
"Dasyurus hallucatus",117.240201,-21.333923,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",5,5,2013,"NatureMap","Millstream - Python Pool","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2416"
"Dasyurus hallucatus",116.0923,-21.794296,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",9,10,2015,"NatureMap","42.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2420"
"Dasyurus hallucatus",116.835943,-20.482203,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",7,10,2015,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2421"
"Dasyurus hallucatus",118.586585,-20.879338,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",3,7,2015,"NatureMap","Indee Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2422"
"Dasyurus hallucatus",116.165115,-21.808879,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",24,8,2015,"NatureMap","30.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2424"
"Dasyurus hallucatus",117.60779,-20.95101,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",2,5,2012,"NatureMap","Sherlock River","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2425"
"Dasyurus hallucatus",117.23913,-21.33017,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",10,12,2011,"NatureMap","Millstream - Python Pool","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2426"
"Dasyurus hallucatus",118.90434,-21.39923,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",1,8,2011,"NatureMap","BHP - quarry 3","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2427"
"Dasyurus hallucatus",116.23553,-22.19321,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",11,9,2015,"NatureMap","12.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2428"
"Dasyurus hallucatus",118.9307,-20.45727,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",22,7,2015,"NatureMap","Poondano","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2429"
"Dasyurus hallucatus",116.833652,-20.483322,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",18,6,2014,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2436"
"Dasyurus hallucatus",118.582511,-20.876503,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",9,6,2016,"NatureMap","Indee Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2438"
"Dasyurus hallucatus",116.821225,-20.511488,"Cage/Elliot/Unspecified Trap",NA,1000,"PILBTFAUNA","GDA94",5,7,2012,"NatureMap","Dolphin Island - south","DPaW - Neil Thomas","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2441"
"Dasyurus hallucatus",117.9218,-21.78009,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",26,8,2015,"NatureMap","Mt Florance Station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2445"
"Dasyurus hallucatus",118.5893,-20.83953,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",30,5,2015,"NatureMap","Indee station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2446"
"Dasyurus hallucatus",116.2734,-22.18277,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",21,5,2015,"NatureMap","1.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2447"
"Dasyurus hallucatus",117.254,-21.33705,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",24,8,2014,"NatureMap","Millstream National Park","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2449"
"Dasyurus hallucatus",117.905379,-21.77741,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",8,5,2013,"NatureMap","Mt Florance Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2451"
"Dasyurus hallucatus",118.58858,-20.87689,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",4,5,2012,"NatureMap","Indee Station - Red Rock","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2455"
"Dasyurus hallucatus",116.23728,-22.19311,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",10,9,2015,"NatureMap","12.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2457"
"Dasyurus hallucatus",115.56981,-21.989043,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",15,9,2014,"NatureMap","Cane River Conservation Reserve","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2458"
"Dasyurus hallucatus",117.9284,-20.82951,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",13,9,2014,"NatureMap","Mallina Station","DPaW - NQP","Remote camera",NA,NA,NA,"certain","Record_2459"
"Dasyurus hallucatus",116.8196,-20.51629,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",18,6,2015,"NatureMap","Dolphin Island","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2460"
"Dasyurus hallucatus",118.584377,-20.875692,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",25,8,2014,"NatureMap","Indee Station - Red Rock","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2461"
"Dasyurus hallucatus",116.833179,-20.487579,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",9,7,2013,"NatureMap","Dolphin Island - north","DPaW - Neil Thomas","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2464"
"Dasyurus hallucatus",116.761206,-20.790949,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",11,7,2014,"NatureMap","Mount Regal","360 Environmental","Remote camera",NA,NA,NA,"Certain","Record_2465"
"Dasyurus hallucatus",120.118297,-20.883198,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",31,7,2015,"NatureMap","Yarrie Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2466"
"Dasyurus hallucatus",116.27191,-22.18089,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",22,5,2015,"NatureMap","1.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2467"
