"UTMX","UTMY"
677160.032417005,7675071.06850031
415675.957527687,7579616.9473855
586990.029877947,7695281.99684504
675492.049859603,7683763.97946326
690968.042592454,7734087.77095429
426755.924788994,7617223.62274395
749145.018671874,7533193.57299897
446046.005026312,7599249.29303091
431300.985838908,7558593.44613587
726475.969600902,7663735.01864279
411221.373384806,7573854.44902272
671823.042449529,7657160.13228301
674736.948714949,7703016.02767915
671697.038672437,7700813.97287675
675132.982681927,7685705.02247668
690398.441928378,7732009.55688351
744395.03686022,7533119.47726292
667257.992957046,7701386.96435107
889115.741304674,7650747.92507033
400267.016129362,7594019.95171403
453105.624549731,7564833.81591441
410204.294481626,7575184.17373801
696910.954846912,7739805.03439531
421813.425227822,7554324.49979199
697044.959559598,7588443.9956061
674824.963895297,7692767.04384757
692713.049711246,7599427.00615307
433795.957114928,7530283.52865771
711846.968319162,7507199.57374898
700538.025148169,7583020.34185
689178.997947575,7599171.336321
694389.029825778,7577572.41856692
433546.032032018,7602897.33416293
507672.988195224,7691006.95274126
453702.014071024,7598080.27866289
820763.827688116,7607370.40160837
427092.966898177,7557814.46604845
675932.012985123,7681014.02311527
593757.025395012,7571546.34970147
598629.962298793,7439522.84912394
429092.45823758,7557771.69537382
424261.017077953,7595979.28991276
427715.031103524,7559080.48307841
395507.943076188,7579617.03103815
690877.035224456,7733954.81407384
448528.030564493,7601625.25750288
676698.965695492,7635765.1726867
711691.052573553,7651190.12797684
687107.972001821,7737052.86970975
710861.020733745,7624638.16114095
710486.964615299,7625994.15594478
441463.035664438,7576536.33579123
428262.044779425,7602026.2560012
583662.022298386,7571558.3455069
885272.72829701,7644819.45192106
423087.801587018,7550014.3793054
776034.038479388,7620692.22289268
410439.97352061,7590692.35299253
689742.042993836,7569498.41349076
719146.973499835,7658688.12985978
670993.045565975,7732590.02488713
440575.0192213,7603385.25019725
445512.049026986,7568305.35518057
690374.036279768,7651058.96154024
712227.048467787,7508464.58767643
601034.953503401,7537675.46225102
735118.016453903,7546026.45956221
720699.01739762,7660996.06620146
887712.44402617,7647802.44810617
651382.050057793,7683714.99691237
653134.969055145,7746562.78355902
428907.243777659,7522711.46664528
434196.006128247,7530246.48506808
822239.824004063,7608579.4968596
293223.039282044,7600578.27514322
450723.212094374,7564644.79881018
672688.538616774,7662306.60664278
429444.9480114,7525407.57141083
445102.992599261,7566329.43736599
409144.366472058,7600698.10793366
739775.019167434,7618645.23495486
675192.045128435,7506688.64209544
725502.960546087,7561479.41420668
589732.964576079,7557130.42743536
818163.600254185,7609343.33109439
430029.732865071,7556590.68374879
294158.044245537,7600497.2756346
448462.836378421,7566352.16796204
446307.027132651,7597751.25016168
673859.013039236,7686539.9943513
668752.980192699,7731608.8500752
673664.948933912,7716393.989947
675669.978623545,7686445.96141455
429100.471026524,7521966.68126579
688041.935689113,7633282.04674077
746248.974803912,7532052.49685329
524767.852254355,7641171.41493834
714115.96004243,7504837.60591121
