"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",118.680892,-21.1616,NA,"",100,"FAUNASURVEY","GDA94",28,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2060"
"Dasyurus hallucatus",118.647843,-21.155413,NA,"",100,"FAUNASURVEY","GDA94",29,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2061"
"Dasyurus hallucatus",118.651863,-21.194025,NA,"",100,"FAUNASURVEY","GDA94",13,5,2014,"NatureMap","Wodgina Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF009823-201408","SF009823","Certain","Record_2062"
"Dasyurus hallucatus",118.752896,-22.03921,NA,"",100,"FAUNASURVEY","GDA94",13,8,2015,"NatureMap","HL_NQ_OPP","ECOSCAPE AUSTRALIA",NA,"Hamersley Line","SF010422_201603","SF010422","Certain","Record_2063"
"Dasyurus hallucatus",118.752577,-22.039313,NA,"",100,"FAUNASURVEY","GDA94",15,8,2015,"NatureMap","HL_NQ_OPP","ECOSCAPE AUSTRALIA",NA,"Hamersley Line","SF010422_201603","SF010422","Certain","Record_2064"
"Dasyurus hallucatus",118.844156,-20.446954,NA,"",100,"FAUNASURVEY","GDA94",27,7,2012,"NatureMap","GOC6","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2065"
"Dasyurus hallucatus",118.843288,-20.454016,NA,"",100,"FAUNASURVEY","GDA94",28,7,2009,"NatureMap","","SONJA CREESE (OUTBACK ECOLOGY)",NA,"Poondano","SF007127-201002","SF007127","Certain","Record_2066"
"Dasyurus hallucatus",118.836726,-20.454998,NA,"",100,"FAUNASURVEY","GDA94",28,7,2009,"NatureMap","","SONJA CREESE (OUTBACK ECOLOGY)",NA,"Poondano","SF007127-201002","SF007127","Certain","Record_2067"
"Dasyurus hallucatus",118.837069,-20.45485,NA,"",100,"FAUNASURVEY","GDA94",28,7,2009,"NatureMap","","SONJA CREESE (OUTBACK ECOLOGY)",NA,"Poondano","SF007127-201002","SF007127","Certain","Record_2068"
"Dasyurus hallucatus",119.102389,-21.18761,NA,"",100,"FAUNASURVEY","GDA94",2,6,2014,"NatureMap","Abydos","OUTBACK ECOLOGY",NA,"Pilbara","SF009854-201408","SF009854","Certain","Record_2069"
"Dasyurus hallucatus",118.723865,-21.013758,NA,"",100,"FAUNASURVEY","GDA94",13,4,2011,"NatureMap","Site 1","OUTBACK ECOLOGY SERVICES",NA,"Turner River","SF007948-201106","SF007948","Certain","Record_2070"
"Dasyurus hallucatus",118.970457,-21.366513,NA,"",100,"FAUNASURVEY","GDA94",18,4,2011,"NatureMap","Site 2 TRH Deviation","OUTBACK ECOLOGY SERVICES",NA,"Turner River","SF007948-201106","SF007948","Certain","Record_2071"
"Dasyurus hallucatus",120.111422,-21.596273,NA,"",100,"FAUNASURVEY","GDA94",5,3,2012,"NatureMap","McPhee Creek: CAM REC1 D3","OUTBACK ECOLOGY",NA,"Pilbara","SF008431-201203","SF008431","Certain","Record_2072"
"Dasyurus hallucatus",120.07413,-21.618729,NA,"",100,"FAUNASURVEY","GDA94",3,3,2012,"NatureMap","McPhee Creek: SSP","OUTBACK ECOLOGY",NA,"Pilbara","SF008431-201203","SF008431","Certain","Record_2073"
"Dasyurus hallucatus",118.859458,-20.431484,NA,"",100,"FAUNASURVEY","GDA94",3,9,2012,"NatureMap","GH03","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2074"
"Dasyurus hallucatus",118.860132,-20.42908,NA,"",100,"FAUNASURVEY","GDA94",3,9,2012,"NatureMap","GH06","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2075"
"Dasyurus hallucatus",118.902659,-20.431577,NA,"",100,"FAUNASURVEY","GDA94",4,9,2012,"NatureMap","EG04","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2076"
"Dasyurus hallucatus",118.905662,-20.434304,NA,"",100,"FAUNASURVEY","GDA94",4,9,2012,"NatureMap","EG08","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2077"
"Dasyurus hallucatus",118.859269,-20.429801,NA,"",100,"FAUNASURVEY","GDA94",4,9,2012,"NatureMap","GH05","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2078"
"Dasyurus hallucatus",118.865975,-20.429838,NA,"",100,"FAUNASURVEY","GDA94",4,9,2012,"NatureMap","GH10","RAPALLO STAFF",NA,"PLWA Port Hedland","SF008770-201209","SF008770","Certain","Record_2079"
"Dasyurus hallucatus",119.061315,-22.573499,NA,"",100,"FAUNASURVEY","GDA94",30,4,2016,"NatureMap","KQMB3.M17-01 - Motion Camera","BIOTA - SYLVIE SCHMIDT",NA,"Koodaideri","SF010648-201608","SF010648","Certain","Record_2080"
"Dasyurus hallucatus",118.844197,-20.437549,NA,"",100,"FAUNASURVEY","GDA94",24,7,2012,"NatureMap","QMC5","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2081"
"Dasyurus hallucatus",118.829264,-20.504886,NA,"",100,"FAUNASURVEY","GDA94",25,7,2012,"NatureMap","GC10A","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2082"
"Dasyurus hallucatus",118.925294,-20.455673,NA,"",100,"FAUNASURVEY","GDA94",26,7,2012,"NatureMap","PEC6","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2083"
"Dasyurus hallucatus",119.105158,-21.188659,NA,"",100,"FAUNASURVEY","GDA94",21,8,2015,"NatureMap","NS_NQ_C4","CHRIS PARKER",NA,"North Star","SF010456_201603","SF010456","Certain","Record_2084"
"Dasyurus hallucatus",118.938797,-22.505031,NA,"",100,"FAUNASURVEY","GDA94",19,5,2013,"NatureMap","KDA04E VIDEO RECORDING","BIOTA-N. WATSON",NA,"Koodaideri","SF009255-201308","SF009255","Certain","Record_2085"
