id,pop,lat,lon,Sex,Year,IBRA_SubRegion,Original_id
Dh_11.333,Poondano,-20.45497358,118.841708,F,2011,Chichester,11-333
Dh_11.341,Poondano,-20.45485809,118.8420285,F,2011,Chichester,11-341
Dh_11.345,Poondano,-20.4577307,118.9304798,M,2011,Chichester,11-345
Dh_11.397,Abydos Turner Yandee,-21.1942,119.0259,M,2011,Chichester,11-397
Dh_11.400,Abydos Turner Yandee,-21.1656,119.054,M,2011,Chichester,11-400
Dh_11.409,Abydos Turner Yandee,-21.2499,119.0518,M,2011,Chichester,11-409
Dh_11.411,Abydos Turner Yandee,-21.2285,119.0376,M,2011,Chichester,11-411
Dh_11.412,Abydos Turner Yandee,-21.2729,119.054,M,2011,Chichester,11-412
Dh_11.413,Abydos Turner Yandee,-21.2873,119.0561,F,2011,Chichester,11-413
Dh_11.415,Abydos Turner Yandee,-21.2873,119.0558,M,2011,Chichester,11-415
Dh_12.087,Abydos Turner Yandee,-21.1277083,119.1379972,F,2011,Chichester,12-087
Dh_12.260,Quarry Site 1a,-20.5208333,118.6891667,F,2011,Chichester,12-260
Dh_12.277,Cattle Nimingarra Shay,-20.5327778,120.1594444,M,2011,Chichester,12-277
Dh_12.279,Cattle Nimingarra Shay,-20.5497222,120.2408333,M,2011,Chichester,12-279
Dh_12.284,Cattle Nimingarra Shay,-20.5486111,120.2402778,M,2011,Chichester,12-284
Dh_12.285,Callawa,-20.6822222,120.3105556,M,2011,Chichester,12-285
Dh_12.292,Callawa,-20.6816667,120.3116667,M,2011,Chichester,12-292
Dh_12.296,Quarry Site 2c,-21.4877778,119.1338889,M,2011,Chichester,12-296
Dh_12.297,Quarry Site 2c,-21.4877778,119.1336111,M,2011,Chichester,12-297
Dh_12.344,Red Hill Hammersley South,-22.3538889,116.3277778,M,2011,Hamersley,12-344
Dh_16.069,Yarrie Station,-20.88319802,120.118297,M,2015,Chichester,16-069
Dh_16.070,Yarrie Station,-20.88256502,120.118385,F,2015,Chichester,16-070
Dh_16.107,Pannawonica Yarraloola,-21.78422,116.156425,M,2015,Hamersley,16-107
Dh_16.117,Pannawonica Yarraloola,-21.72860742,115.957545,M,2015,Hamersley,16-117
Dh_16.118,Pannawonica Yarraloola,-21.80915399,116.165388,M,2015,Hamersley,16-118
Dh_16.120,Pannawonica Yarraloola,-21.80924996,116.1648298,F,2015,Hamersley,16-120
Dh_16.121,Pannawonica Yarraloola,-21.81292199,116.1662879,M,2015,Hamersley,16-121
Dh_16.123,Pannawonica Yarraloola,-21.79496099,116.0986509,F,2015,Hamersley,16-123
Dh_16.125,Pannawonica Yarraloola,-21.79461197,116.0925219,F,2015,Hamersley,16-125
