"sampleid","PHt","Hs_obs","Hs_exp","IR","HL","pop","Buffer_15km","PHt.HotCold"
"Dh_16.148",0.254360075127448,"1.07611564878874","0.963646992214835","0.0492622706039026","0.663099983595844","Red Hill Chichester","B15.16",0.667033310273226
"Dh_16.149",0.225823878984333,"0.957218175371429","0.857518784072775","0.154162668392435","0.703199135237605","Red Hill Chichester","B15.16",-0.377794374438566
"Dh_16.150",0.231615673644659,"0.980832175976936","0.878349421103643","0.109131226400604","0.689734205557461","Red Hill Chichester","B15.16",-0.1657329148479
"Dh_16.152",0.238645525396399,"1.00952100471525","0.9042797485902","0.101492749906848","0.680398948950883","Red Hill Chichester","B15.16",0.0916589145606526
"Dh_16.155",0.217075141395098,"0.919562608803763","0.824251232644529","0.180737759790919","0.709021222824802","Red Hill Chichester","B15.16",-0.698121694648583
"Dh_16.156",0.228717672413793,"0.968140222613679","0.867470258633779","0.12881217513324","0.697000292860908","Red Hill Chichester","B15.16",-0.271840677114181
"Dh_16.158",0.244414535666218,"1.03521537841747","0.927078900647036","0.0924554133555381","0.678675338075548","Red Hill Chichester","B15.16",0.302886143763304
"Dh_16.159",0.210674157303371,"0.885301602588297","0.794506535505528","0.210260763520016","0.719146418875961","Red Hill Chichester","B15.16",-0.932488088644993
"Dh_16.183",0.211232876712329,"0.893433531315353","0.800577087393036","0.18360722842845","0.710084975867323","Karratha Roeburn","B15.19",-0.912031069652784
"Dh_16.200",0.232070910556003,"0.982233362801716","0.880100177853301","0.111137451594463","0.683687449263392","Callawa","B15.18",-0.149064816349786
"Dh_16.203",0.227861771058315,"0.964020831080099","0.863566891827554","0.135387852964129","0.69632662840056","Callawa","B15.18",-0.303178751295506
"Dh_16.207",0.245166487647691,"1.03806973581785","0.929880794295507","0.0703825544168006","0.67109166516718","Nimingarra","B15.18",0.330418203182738
"Dh_16.229",0.234488315874295,"0.993131726757849","0.889579850164083","0.105978850419101","0.689354011023363","Pannawonica Red Hill","B15.06",-0.0605536500733242
"Dh_16.230",0.185567010309278,"0.783545051026365","0.702513099315379","0.289954971541129","0.753428190461506","Pannawonica Yarraloola","B15.09",-1.85176415935865
"Dh_16.231",0.24510067114094,"1.0374426116426","0.929451379187185","0.0702280877006648","0.673215268113218","Pannawonica Yarraloola","B15.09",0.328008389764734
"Dh_16.233",0.22541316716337,"0.952251753109426","0.85355177905236","0.138633500116095","0.693232104047171","Pannawonica Yarraloola","B15.09",-0.392832225973802
"Dh_16.236",0.245906040268456,"1.04050727468311","0.932128167328264","0.0727238156952381","0.677520551292881","Pannawonica Yarraloola","B15.09",0.357496270932243
"Dh_16.239",0.2302932472424,"0.975022250207601","0.874148774399494","0.124236899081049","0.69189441958982","Coolawanyah Station North","B15.10",-0.214152392662828
"Dh_16.241",0.227211616025813,"0.960650990792748","0.860642598347527","0.1186132457546","0.696733968526738","Coolawanyah Station North","B15.10",-0.326983605099635
"Dh_16.242",0.23989218328841,"1.01372571782574","0.908431494981499","0.104519083563436","0.67971200568502","Coolawanyah Station North","B15.10",0.137304195116092
"Dh_16.251",0.229345493562232,"0.971120971415919","0.870015225874129","0.118993964525047","0.691005503952945","Coolawanyah Station South","B15.10",-0.248853558801467
"Dh_16.253",0.240550755939525,"1.01976322178722","0.913571206413043","0.0786671302740668","0.673252372323269","Coolawanyah Station South","B15.10",0.161417252610793
"Dh_16.255",0.241844162847129,"1.02240008164982","0.916050938095831","0.0853826977837878","0.682053916395626","Coolawanyah Station South","B15.10",0.208774207191728
"Dh_16.256",0.239720505240527,"1.01546018541605","0.909860965747121","0.0796583239314015","0.67639339986254","Coolawanyah Station South","B15.10",0.13101835462124
"Dh_16.257",0.334765100671141,"1.41666423819876","1.26852918804765","-0.209107951329419","0.551202976728799","Pannawonica Red Hill","B15.06",3.61099249308388
"Dh_16.260",0.169958108916816,"0.712549945607295","0.640054017118938","0.365486277898774","0.776167112110491","Pannawonica Red Hill","B15.06",-2.42327033421775
"Dh_16.261",0.215835140997831,"0.9121963683422","0.818338980866856","0.171923280436811","0.703680941927206","Pannawonica Red Hill","B15.06",-0.743523216898449
"Dh_16.262",0.246579017976925,"1.04417497562291","0.935380528980522","0.0656390962338316","0.671945620900392","Pannawonica Red Hill","B15.06",0.382136756912781
"Dh_16.263",0.235072619688004,"0.994901786701539","0.891574346692583","0.111920301136778","0.689809384346045","Pannawonica Red Hill","B15.06",-0.0391598806380402
"Dh_16.270",0.233396074213498,"0.987801254634196","0.885093779119574","0.113293368603264","0.682082025282888","Cane River CP","B15.05",-0.100545116345595
"Dh_16.281",0.239171374764595,"1.01179066204983","0.906918578402501","0.0984825635530719","0.680142669354452","McPhee Creek Mine","B15.11",0.110912425965043
"Dh_16.285",0.246707874227358,"1.04469564142138","0.936056074017166","0.0652748298172882","0.666585642656505","Millstream Python","B15.14",0.386854715015022
"Dh_16.286",0.259348937315039,"1.09926593311755","0.98555126432316","0.0116924531519938","0.647364848799874","Millstream Python","B15.14",0.849696104664781
"Dh_16.287",0.255028157683025,"1.07909947421898","0.966368612762985","0.0468302131976661","0.658578313081246","Millstream Python","B15.14",0.691494564542683
"Dh_16.311",0.154322650148128,"0.653431122454942","0.585320729190284","0.422312304376333","0.792271963793835","Dolphin Island","B15.00",-2.99574888401341
"Dh_16.352",0.24751677852349,"1.048411361246","0.939385813833888","0.0508867779439663","0.661199141186383","Quarry Site 1a","B15.20",0.416472033267333
"Dh_16.353",0.252416756176155,"1.06776064884738","0.956436756800061","0.0420458449442161","0.657884122422548","Quarry Site 1a","B15.20",0.595880398709506
"Dh_16.355",0.250134336378291,"1.05850998195386","0.948040848471639","0.0604880702036923","0.666019302935391","Quarry Site 1a","B15.20",0.512311608356979
"Dh_16.421",0.233996772458311,"0.990296633051136","0.887635432005007","0.108302866563607","0.685517105693232","Quarry Site 1a","B15.20",-0.0785510792570246
"Dh_16.426",0.219919246298789,"0.930608487676587","0.834100847124482","0.154549896483284","0.696748386247106","Quarry Site 1b","B15.12",-0.59398729892542
"Dh_16.435",0.252148227712137,"1.06736321981715","0.956493947411943","0.0413457509616861","0.6637137833452","Quarry Site 2a","B15.15",0.586048465541819
"Dh_16.440",0.249194414607948,"1.05469147321623","0.944798812285641","0.0603545271249893","0.670795709919741","Karratha Chichester","B15.19",0.477897200697581
"Dh_16.441",0.247381144238517,"1.04634048393138","0.937210929240244","0.0562198607965736","0.668619235062669","De grey Station","B15.20",0.41150590340107
"Dh_16.443",0.244026845637584,"1.03277265633925","0.925068590846564","0.0785214736801963","0.672853480832928","Quarry Site 2a","B15.15",0.288691214874673
"Dh_16.445",0.238785925329036,"1.01004661968105","0.90470564236235","0.0867957091074118","0.681454475403733","Quarry Site 2b","B15.20",0.0967995344181528
"Dh_16.447",0.268952585052237,"1.13859740157813","1.0194236591426","-0.00382575381860709","0.643878874652121","Quarry Site 2a","B15.15",1.2013252068661
"Dh_16.450",0.24993295789756,"1.05805872917704","0.947429526991238","0.0457580183079611","0.661981073056995","Indee Quarry 2","B15.15",0.504938312676022
"Dh_16.453",0.239720505240527,"1.0144391932068","0.908585814709155","0.0959110011987283","0.679862466768578","Indee Quarry 2","B15.15",0.13101835462124
"Dh_16.465",0.255096566523605,"1.08023494900883","0.967386865357935","0.0343139570189103","0.654397553838187","Wodgina","B15.15",0.693999293980292
"Dh_16.467",0.244498121309716,"1.03503650746148","0.92691432547054","0.0682920888236346","0.673275506176919","Abydos Turner Yandee","B15.12",0.305946558470756
"Dh_16.468",0.242342826437399,"1.02580329387563","0.918936769695481","0.0812695968285853","0.682018282134833","Wodgina","B15.15",0.227032335284864
"Dh_16.473",0.249329758713137,"1.05543990142965","0.945238309475272","0.0565604778605565","0.669209667851329","Wodgina","B15.15",0.482852705886668
